State,Total
Alabama,"114,419"
Alaska,"12,424"
Arkansas,"65,425"
Arizona,"136,115"
California,"312,264"
Colorado,"71,452"
Connecticut,"49,877"
District of Columbia,"45,125"
Delaware,"4,087"
Florida,"254,391"
Georgia,"168,162"
Hawaii,"7,403"
Iowa,"31,117"
Idaho,"44,560"
Illinois,"121,421"
Indiana,"100,386"
Kansas,"34,826"
Kentucky,"63,628"
Louisiana,"80,605"
Massachusetts,"34,433"
Maryland,"94,619"
Maine,"12,545"
Michigan,"47,791"
Minnesota,"58,239"
Missouri,"58,475"
Mississippi,"24,081"
Montana,"12,798"
North Carolina,"122,288"
North Dakota,"8,122"
Nebraska,"15,956"
New Hampshire,"23,061"
New Jersey,"54,612"
New Mexico,"89,220"
Nevada,"64,090"
New York,"69,680"
Ohio,"135,267"
Oklahoma,"58,213"
Oregon,"48,751"
Pennsylvania,"225,377"
Rhode Island,"4,054"
South Carolina,"68,312"
South Dakota,"11,989"
Tennessee,"80,701"
Texas,"403,185"
Utah,"77,193"
Virginia,"268,234"
Vermont,"4,199"
Washington,"68,427"
Wisconsin,"49,722"
West Virginia,"23,415"
Wyoming,"124,176"
