State,Total
Alabama,"161,641"
Alaska,"15,824"
Arkansas,"79,841"
Arizona,"179,738"
California,"344,622"
Colorado,"92,435"
Connecticut,"82,400"
District of Columbia,"47,228"
Delaware,"4,852"
Florida,"343,288"
Georgia,"190,050"
Hawaii,"7,859"
Iowa,"28,494"
Idaho,"49,566"
Illinois,"146,487"
Indiana,"114,019"
Kansas,"52,634"
Kentucky,"81,068"
Louisiana,"116,831"
Massachusetts,"37,152"
Maryland,"103,109"
Maine,"15,371"
Michigan,"65,742"
Minnesota,"79,307"
Missouri,"72,996"
Mississippi,"35,494"
Montana,"22,133"
North Carolina,"152,238"
North Dakota,"13,272"
Nebraska,"22,234"
New Hampshire,"64,135"
New Jersey,"57,507"
New Mexico,"97,580"
Nevada,"76,888"
New York,"76,207"
Ohio,"173,405"
Oklahoma,"71,269"
Oregon,"61,383"
Pennsylvania,"236,377"
Rhode Island,"4,223"
South Carolina,"105,601"
South Dakota,"21,130"
Tennessee,"99,159"
Texas,"588,696"
Utah,"72,856"
Virginia,"307,822"
Vermont,"5,872"
Washington,"91,835"
Wisconsin,"64,878"
West Virginia,"35,264"
Wyoming,"132,806"
