State,Poverty
Alabama,15.0
Alaska,14.4
Arizona,13.2
Arkansas,14.8
California,12.4
Colorado,7.7
Connecticut,10.9
Delaware,9.2
District of Columbia,13.6
Florida,13.7
Georgia,13.3
Hawaii,10.3
Idaho,11.7
Illinois,10.9
Indiana,11.4
Iowa,9.1
Kansas,14.7
Kentucky,14.4
Louisiana,21.4
Maine,12.0
Maryland,7.8
Massachusetts,10.6
Michigan,12.7
Minnesota,9.2
Mississippi,18.3
Missouri,11.1
Montana,9.7
Nebraska,10.4
Nevada,13.7
New Hampshire,6.6
New Jersey,8.6
New Mexico,18.6
New York,13.4
North Carolina,14.5
North Dakota,11.3
Ohio,12.7
Oklahoma,12.6
Oregon,10.2
Pennsylvania,11.2
Rhode Island,12.2
South Carolina,15.6
South Dakota,10.4
Tennessee,11.5
Texas,13.4
Utah,8.6
Vermont,10.2
Virginia,10.3
Washington,9.9
West Virginia,17.3
Wisconsin,9.5
Wyoming,12.4
