State,Total
Alabama,"134,687"
Alaska,"13,439"
Arkansas,"69,500"
Arizona,"145,248"
California,"324,417"
Colorado,"77,878"
Connecticut,"63,576"
District of Columbia,"45,895"
Delaware,"4,408"
Florida,"277,227"
Georgia,"165,523"
Hawaii,"7,571"
Iowa,"22,238"
Idaho,"42,924"
Illinois,"138,825"
Indiana,"103,758"
Kansas,"37,908"
Kentucky,"72,199"
Louisiana,"89,015"
Massachusetts,"32,629"
Maryland,"97,447"
Maine,"13,402"
Michigan,"52,222"
Minnesota,"63,999"
Missouri,"62,914"
Mississippi,"27,408"
Montana,"15,900"
North Carolina,"131,539"
North Dakota,"9,460"
Nebraska,"18,011"
New Hampshire,"29,821"
New Jersey,"55,672"
New Mexico,"92,251"
Nevada,"67,785"
New York,"70,406"
Ohio,"143,234"
Oklahoma,"64,063"
Oregon,"51,923"
Pennsylvania,"222,722"
Rhode Island,"4,128"
South Carolina,"73,213"
South Dakota,"13,892"
Tennessee,"87,104"
Texas,"468,581"
Utah,"54,367"
Virginia,"281,356"
Vermont,"4,723"
Washington,"75,957"
Wisconsin,"53,697"
West Virginia,"31,540"
Wyoming,"127,787"
