State,Poverty
Alabama,16.3
Alaska,9.2
Arizona,17.2
Arkansas,16.1
California,13.9
Colorado,9.9
Connecticut,9.1
Delaware,11.1
District of Columbia,16.6
Florida,16.2
Georgia,18.1
Hawaii,10.9
Idaho,12.3
Illinois,10.9
Indiana,13.5
Iowa,10.4
Kansas,14.2
Kentucky,19.5
Louisiana,18.6
Maine,12.3
Maryland,9.6
Massachusetts,11.5
Michigan,12.8
Minnesota,7.8
Mississippi,19.1
Missouri,9.8
Montana,11.9
Nebraska,10.3
Nevada,13.0
New Hampshire,7.3
New Jersey,11.2
New Mexico,19.7
New York,14.2
North Carolina,15.3
North Dakota,10.7
Ohio,13.6
Oklahoma,14.2
Oregon,11.9
Pennsylvania,12.3
Rhode Island,11.8
South Carolina,14.3
South Dakota,13.9
Tennessee,14.7
Texas,14.7
Utah,9.3
Vermont,10.7
Virginia,10.9
Washington,11.4
West Virginia,14.5
Wisconsin,11.4
Wyoming,9.8
