State,Total
Alabama,"163,398"
Alaska,"17,572"
Arkansas,"84,045"
Arizona,"185,776"
California,"358,223"
Colorado,"100,162"
Connecticut,"68,297"
District of Columbia,"52,610"
Delaware,"4,984"
Florida,"377,207"
Georgia,"203,396"
Hawaii,"8,018"
Iowa,"31,587"
Idaho,"52,527"
Illinois,"144,428"
Indiana,"119,770"
Kansas,"57,028"
Kentucky,"85,763"
Louisiana,"117,356"
Massachusetts,"40,030"
Maryland,"115,463"
Maine,"17,121"
Michigan,"71,678"
Minnesota,"87,019"
Missouri,"78,660"
Mississippi,"39,331"
Montana,"20,326"
North Carolina,"165,170"
North Dakota,"15,440"
Nebraska,"25,092"
New Hampshire,"59,140"
New Jersey,"59,629"
New Mexico,"101,182"
Nevada,"87,148"
New York,"78,141"
Ohio,"173,315"
Oklahoma,"74,615"
Oregon,"66,346"
Pennsylvania,"261,765"
Rhode Island,"4,535"
South Carolina,"101,116"
South Dakota,"22,847"
Tennessee,"107,634"
Texas,"637,612"
Utah,"83,962"
Virginia,"328,010"
Vermont,"6,623"
Washington,"101,534"
Wisconsin,"73,250"
West Virginia,"37,839"
Wyoming,"128,083"
