State,Bachelor
Alabama,24
Alaska,28.8
Arizona,28
Arkansas,21.5
California,32
Colorado,38.7
Connecticut,38
Delaware,30.5
Florida,27.9
Georgia,29.4
Hawaii,31.4
Idaho,26.2
Illinois,32.9
Indiana,24.6
Iowa,27.2
Kansas,31.6
Kentucky,22.7
Louisiana,23
Maine,29.3
Maryland,38.4
Massachusetts,41.2
Michigan,27.4
Minnesota,34.2
Mississippi,21
Missouri,27.6
Montana,29.9
Nebraska,30
Nevada,23.2
New Hampshire,35.5
New Jersey,37.5
New Mexico,26.7
New York,34.7
North Carolina,29
North Dakota,28.2
Ohio,26.7
Oklahoma,24.5
Oregon,31.4
Pennsylvania,29.3
Rhode Island,32.5
South Carolina,26.5
South Dakota,27.5
Tennessee,25.4
Texas,28.1
Utah,31.7
Vermont,36.2
Virginia,36.9
Washington,33.6
West Virginia,19.6
Wisconsin,28.4
Wyoming,26
