State,Bachelor
Alabama,23.1
Alaska,27.7
Arizona,27.1
Arkansas,20.6
California,31
Colorado,37.5
Connecticut,37
Delaware,29.4
Florida,26.8
Georgia,28.3
Hawaii,30.5
Idaho,25.4
Illinois,31.9
Indiana,23.6
Iowa,26.4
Kansas,30.7
Kentucky,21.8
Louisiana,22.1
Maine,28.4
Maryland,37.3
Massachusetts,40
Michigan,26.4
Minnesota,33.2
Mississippi,20.4
Missouri,26.7
Montana,29.1
Nebraska,29
Nevada,22.5
New Hampshire,34.4
New Jersey,36.4
New Mexico,26.1
New York,33.7
North Carolina,27.8
North Dakota,27.3
Ohio,25.6
Oklahoma,23.8
Oregon,30.1
Pennsylvania,28.1
Rhode Island,31.4
South Carolina,25.3
South Dakota,26.7
Tennessee,24.4
Texas,27.1
Utah,30.6
Vermont,35.2
Virginia,35.8
Washington,32.3
West Virginia,18.7
Wisconsin,27.4
Wyoming,25.1
