State,Poverty
Alabama,14.3
Alaska,8.9
Arizona,14.4
Arkansas,17.7
California,12.2
Colorado,9.7
Connecticut,8.0
Delaware,9.3
D.C.,18.3
Florida,11.5
Georgia,12.6
Hawaii,9.2
Idaho,9.5
Illinois,10.6
Indiana,10.6
Iowa,10.3
Kansas,12.8
Kentucky,16.8
Louisiana,17.0
Maine,10.2
Maryland,8.4
Massachusetts,12.0
Michigan,13.3
Minnesota,8.2
Mississippi,20.6
Missouri,11.4
Montana,13.5
Nebraska,10.2
Nevada,9.5
New Hampshire,5.4
New Jersey,8.8
New Mexico,16.9
New York,14.0
North Carolina,13.8
North Dakota,11.4
Ohio,12.1
Oklahoma,15.2
Oregon,11.8
Pennsylvania,11.3
Rhode Island,10.5
South Carolina,11.2
South Dakota,10.7
Tennessee,14.9
Texas,16.4
Utah,9.3
Vermont,7.8
Virginia,8.6
Washington,8.0
West Virginia,15.3
Wisconsin,10.1
Wyoming,10.0
