State,Poverty
Alabama,17.8
Alaska,11.9
Arizona,21.2
Arkansas,18.4
California,15.8
Colorado,12.3
Connecticut,8.6
Delaware,11.0
District of Columbia,19.0
Florida,16.7
Georgia,16.8
Hawaii,10.8
Idaho,12.4
Illinois,13.7
Indiana,14.6
Iowa,10.3
Kansas,12.1
Kentucky,20.0
Louisiana,23.1
Maine,14.6
Maryland,9.8
Massachusetts,13.6
Michigan,14.8
Minnesota,8.3
Mississippi,22.1
Missouri,10.4
Montana,12.0
Nebraska,11.8
Nevada,17.0
New Hampshire,7.2
New Jersey,11.3
New Mexico,20.0
New York,14.0
North Carolina,17.1
North Dakota,9.7
Ohio,15.6
Oklahoma,17.3
Oregon,14.4
Pennsylvania,12.5
Rhode Island,11.3
South Carolina,16.5
South Dakota,12.8
Tennessee,17.3
Texas,16.4
Utah,10.2
Vermont,9.3
Virginia,10.2
Washington,12.0
West Virginia,20.6
Wisconsin,10.9
Wyoming,9.7
